date,sector,index,price,chg_1d,chg_5d,rs,score,rank
2026-07-24,Banking,NIFTY BANK,56693.5,0.18,0.0,0.0,0.0,2
2026-07-24,FMCG,NIFTY FMCG,49053.3,0.04,0.0,0.0,0.0,3
2026-07-24,Auto,NIFTY AUTO,27217.95,-1.1,0.0,0.0,0.0,4
2026-07-24,Pharma,NIFTY PHARMA,25548.15,-0.41,0.0,0.0,0.0,5
2026-07-24,Metal,NIFTY METAL,12401.55,-0.55,0.0,0.0,0.0,6
2026-07-24,Energy,NIFTY ENERGY,38821.8,-0.57,0.0,0.0,0.0,7
2026-07-24,Realty,NIFTY REALTY,881.8,-0.55,0.0,0.0,0.0,8
2026-07-24,Infra,NIFTY INFRA,9240.85,-0.42,0.0,0.0,0.0,9
2026-07-24,Media,NIFTY MEDIA,1527.45,1.86,0.0,0.0,0.0,10
2026-07-25,IT,NIFTY IT,28767.95,0.82,0.0,0.0,0.0,1
2026-07-25,Banking,NIFTY BANK,56693.5,0.18,0.0,0.0,0.0,2
2026-07-25,FMCG,NIFTY FMCG,49053.3,0.04,0.0,0.0,0.0,3
2026-07-25,Auto,NIFTY AUTO,27217.95,-1.1,0.0,0.0,0.0,4
2026-07-25,Pharma,NIFTY PHARMA,25548.15,-0.41,0.0,0.0,0.0,5
2026-07-25,Metal,NIFTY METAL,12401.55,-0.55,0.0,0.0,0.0,6
2026-07-25,Energy,NIFTY ENERGY,38821.8,-0.57,0.0,0.0,0.0,7
2026-07-25,Realty,NIFTY REALTY,881.8,-0.55,0.0,0.0,0.0,8
2026-07-25,Infra,NIFTY INFRA,9240.85,-0.42,0.0,0.0,0.0,9
2026-07-25,Media,NIFTY MEDIA,1527.45,1.86,0.0,0.0,0.0,10
2026-07-26,IT,NIFTY IT,28767.95,0.82,0.0,0.0,0.0,1
2026-07-26,Banking,NIFTY BANK,56693.5,0.18,0.0,0.0,0.0,2
2026-07-26,FMCG,NIFTY FMCG,49053.3,0.04,0.0,0.0,0.0,3
2026-07-26,Auto,NIFTY AUTO,27217.95,-1.1,0.0,0.0,0.0,4
2026-07-26,Pharma,NIFTY PHARMA,25548.15,-0.41,0.0,0.0,0.0,5
2026-07-26,Metal,NIFTY METAL,12401.55,-0.55,0.0,0.0,0.0,6
2026-07-26,Energy,NIFTY ENERGY,38821.8,-0.57,0.0,0.0,0.0,7
2026-07-26,Realty,NIFTY REALTY,881.8,-0.55,0.0,0.0,0.0,8
2026-07-26,Infra,NIFTY INFRA,9240.85,-0.42,0.0,0.0,0.0,9
2026-07-26,Media,NIFTY MEDIA,1527.45,1.86,0.0,0.0,0.0,10
2026-07-27,IT,NIFTY IT,29441.9,2.34,0.0,0.0,0.0,1
2026-07-27,Banking,NIFTY BANK,57087.2,0.69,0.0,0.0,0.0,2
2026-07-27,FMCG,NIFTY FMCG,49564.8,1.04,0.0,0.0,0.0,3
2026-07-27,Auto,NIFTY AUTO,27653.4,1.6,0.0,0.0,0.0,4
2026-07-27,Pharma,NIFTY PHARMA,25945.75,1.56,0.0,0.0,0.0,5
2026-07-27,Metal,NIFTY METAL,12476.45,0.6,0.0,0.0,0.0,6
2026-07-27,Energy,NIFTY ENERGY,38830.1,0.02,0.0,0.0,0.0,7
2026-07-27,Realty,NIFTY REALTY,901.9,2.28,0.0,0.0,0.0,8
2026-07-27,Infra,NIFTY INFRA,9301.65,0.66,0.0,0.0,0.0,9
2026-07-27,Media,NIFTY MEDIA,1563.9,2.39,0.0,0.0,0.0,10
2026-07-28,IT,NIFTY IT,30418.35,3.32,0.0,0.0,0.0,1
2026-07-28,Banking,NIFTY BANK,56755.6,-0.58,0.0,0.0,0.0,2
2026-07-28,FMCG,NIFTY FMCG,48881.2,-1.38,0.0,0.0,0.0,3
2026-07-28,Auto,NIFTY AUTO,27843.9,0.69,0.0,0.0,0.0,4
2026-07-28,Pharma,NIFTY PHARMA,25998.85,0.2,0.0,0.0,0.0,5
2026-07-28,Metal,NIFTY METAL,12400.25,-0.61,0.0,0.0,0.0,6
2026-07-28,Energy,NIFTY ENERGY,38174.8,-1.69,0.0,0.0,0.0,7
2026-07-28,Realty,NIFTY REALTY,921.45,2.17,0.0,0.0,0.0,8
2026-07-28,Infra,NIFTY INFRA,9254.35,-0.51,0.0,0.0,0.0,9
2026-07-28,Media,NIFTY MEDIA,1558.6,-0.34,0.0,0.0,0.0,10
2026-07-29,IT,NIFTY IT,31123.1,2.32,0.0,0.0,0.0,1
2026-07-29,Banking,NIFTY BANK,57205.9,0.79,0.0,0.0,0.0,2
2026-07-29,FMCG,NIFTY FMCG,49690.65,1.66,0.0,0.0,0.0,3
2026-07-29,Auto,NIFTY AUTO,27825.95,-0.06,0.0,0.0,0.0,4
2026-07-29,Pharma,NIFTY PHARMA,26373.35,1.44,0.0,0.0,0.0,5
2026-07-29,Metal,NIFTY METAL,12686.8,2.31,0.0,0.0,0.0,6
2026-07-29,Energy,NIFTY ENERGY,38180.55,0.02,0.0,0.0,0.0,7
2026-07-29,Realty,NIFTY REALTY,918.45,-0.33,0.0,0.0,0.0,8
