token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty
1139522,PFC26JUL425PE,PFC,30JUL2026,42500.000000,1300,OPTSTK,BFO,5.000000,124000
1139530,MFSL26JUL1700PE,MFSL,30JUL2026,170000.000000,400,OPTSTK,BFO,5.000000,32000
1139538,ETERNAL26JUL230PE,ETERNAL,30JUL2026,23000.000000,2425,OPTSTK,BFO,5.000000,100000000
1139555,BLUESTARCO26JUL1820CE,BLUESTARCO,30JUL2026,182000.000000,325,OPTSTK,BFO,5.000000,100000000
1153639,BHARTIARTL26JUL1700CE,BHARTIARTL,30JUL2026,170000.000000,475,OPTSTK,BFO,5.000000,28500
1153646,RELIANCE26JUN1520CE,RELIANCE,25JUN2026,152000.000000,500,OPTSTK,BFO,5.000000,10000
1153695,VEDL26JUL360PE,VEDL,30JUL2026,36000.000000,1150,OPTSTK,BFO,5.000000,80000
1153702,ADANIPORTS26JUN1860CE,ADANIPORTS,25JUN2026,186000.000000,475,OPTSTK,BFO,5.000000,32000
1122957,KOTAKBANK26JUN375PE,KOTAKBANK,25JUN2026,37500.000000,2000,OPTSTK,BFO,5.000000,12000
1122965,TCS26JUN2580CE,TCS,25JUN2026,258000.000000,175,OPTSTK,BFO,5.000000,7000
1122997,ASTRAL26JUN1420CE,ASTRAL,25JUN2026,142000.000000,425,OPTSTK,BFO,5.000000,14680
1123131,ADANIENSOL26JUN1120PE,ADANIENSOL,25JUN2026,112000.000000,675,OPTSTK,BFO,5.000000,100000000
1139566,HDFCBANK26JUL780PE,HDFCBANK,30JUL2026,78000.000000,650,OPTSTK,BFO,5.000000,16500
1139573,DMART26JUL4800CE,DMART,30JUL2026,480000.000000,150,OPTSTK,BFO,5.000000,100000000
1139589,RVNL26JUL285CE,RVNL,30JUL2026,28500.000000,1925,OPTSTK,BFO,5.000000,100000000
1139597,GAIL26JUL157CE,GAIL,30JUL2026,15700.000000,3550,OPTSTK,BFO,5.000000,274500
1153708,EICHERMOT26JUL7500PE,EICHERMOT,30JUL2026,750000.000000,100,OPTSTK,BFO,5.000000,7000
1153778,NAM-INDIA26JUL1200CE,NAM-INDIA,30JUL2026,120000.000000,625,OPTSTK,BFO,5.000000,100000000
1153825,CAMS26JUN850PE,CAMS,25JUN2026,85000.000000,750,OPTSTK,BFO,5.000000,100000000
1153863,BAJAJFINSV26JUL1940PE,BAJAJFINSV,30JUL2026,194000.000000,300,OPTSTK,BFO,5.000000,20000
1153871,MARICO26JUL840CE,MARICO,30JUL2026,84000.000000,1200,OPTSTK,BFO,5.000000,48000
1153887,GODREJCP26JUL1150PE,GODREJCP,30JUL2026,115000.000000,500,OPTSTK,BFO,5.000000,30000
1153932,CGPOWER26JUL890PE,CGPOWER,30JUL2026,89000.000000,850,OPTSTK,BFO,5.000000,100000000
1123135,COALINDIA26JUN495PE,COALINDIA,25JUN2026,49500.000000,1350,OPTSTK,BFO,5.000000,126000
1123138,OBEROIRLTY26JUN1660CE,OBEROIRLTY,25JUN2026,166000.000000,350,OPTSTK,BFO,5.000000,28000
1123157,GODREJPROP26JUN1720PE,GODREJPROP,25JUN2026,172000.000000,275,OPTSTK,BFO,5.000000,19000
1123187,SAIL26JUN177.5CE,SAIL,25JUN2026,17750.000000,4700,OPTSTK,BFO,5.000000,320000
1139660,HYUNDAI26JUN1800CE,HYUNDAI,25JUN2026,180000.000000,275,OPTSTK,BFO,5.000000,100000000
1139680,POWERINDIA26JUL34000CE,POWERINDIA,30JUL2026,3400000.000000,25,OPTSTK,BFO,5.000000,100000000
1139695,VBL26JUL540PE,VBL,30JUL2026,54000.000000,1275,OPTSTK,BFO,5.000000,100000000
1139704,SENSEX5026JUL25650PE,SENSEX50,30JUL2026,2565000.000000,75,OPTIDX,BFO,5.000000,1800
1153931,HDFCAMC26JUL2920CE,HDFCAMC,30JUL2026,292000.000000,300,OPTSTK,BFO,5.000000,12000
