token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty
140120,LTF30JUN26270CE,LTF,30JUN2026,27000.000000,2250,OPTSTK,NFO,5.000000,90001
140132,LTF30JUN26330CE,LTF,30JUN2026,33000.000000,2250,OPTSTK,NFO,5.000000,90001
140138,SIEMENS30JUN264050PE,SIEMENS,30JUN2026,405000.000000,175,OPTSTK,NFO,5.000000,7001
140145,RADICO30JUN263550PE,RADICO,30JUN2026,355000.000000,150,OPTSTK,NFO,5.000000,6001
140193,RADICO30JUN263700CE,RADICO,30JUN2026,370000.000000,150,OPTSTK,NFO,5.000000,6001
140221,RADICO30JUN263750PE,RADICO,30JUN2026,375000.000000,150,OPTSTK,NFO,5.000000,6001
140310,LTM30JUN263700CE,LTM,30JUN2026,370000.000000,150,OPTSTK,NFO,5.000000,6001
140317,LTM30JUN264000PE,LTM,30JUN2026,400000.000000,150,OPTSTK,NFO,5.000000,6001
140328,SIEMENS28JUL263300CE,SIEMENS,28JUL2026,330000.000000,175,OPTSTK,NFO,5.000000,7001
140349,SIEMENS28JUL263900PE,SIEMENS,28JUL2026,390000.000000,175,OPTSTK,NFO,5.000000,7001
140354,SIEMENS28JUL264200CE,SIEMENS,28JUL2026,420000.000000,175,OPTSTK,NFO,5.000000,7001
140359,SIEMENS28JUL264400PE,SIEMENS,28JUL2026,440000.000000,175,OPTSTK,NFO,5.000000,7001
140408,SOLARINDS30JUN2614250PE,SOLARINDS,30JUN2026,1425000.000000,50,OPTSTK,NFO,5.000000,1501
140426,SOLARINDS30JUN2617750PE,SOLARINDS,30JUN2026,1775000.000000,50,OPTSTK,NFO,5.000000,1501
140493,SOLARINDS28JUL2616500PE,SOLARINDS,28JUL2026,1650000.000000,50,OPTSTK,NFO,5.000000,1501
140500,SOLARINDS28JUL2618500CE,SOLARINDS,28JUL2026,1850000.000000,50,OPTSTK,NFO,5.000000,1501
140652,RADICO28JUL263400CE,RADICO,28JUL2026,340000.000000,150,OPTSTK,NFO,5.000000,6001
140742,RADICO28JUL263600CE,RADICO,28JUL2026,360000.000000,150,OPTSTK,NFO,5.000000,6001
140743,RADICO28JUL263600PE,RADICO,28JUL2026,360000.000000,150,OPTSTK,NFO,5.000000,6001
140755,RADICO28JUL263900PE,RADICO,28JUL2026,390000.000000,150,OPTSTK,NFO,5.000000,6001
140774,SONACOMS28JUL26530PE,SONACOMS,28JUL2026,53000.000000,1225,OPTSTK,NFO,5.000000,36751
140788,SONACOMS28JUL26550CE,SONACOMS,28JUL2026,55000.000000,1225,OPTSTK,NFO,5.000000,36751
140810,SONACOMS28JUL26640CE,SONACOMS,28JUL2026,64000.000000,1225,OPTSTK,NFO,5.000000,36751
